web_scraper_order,web_scraper_start_url,container_link,name,price,location,image
"1765227742-1","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiens-boerbulls-4606579","Chiens boerbulls","Prix sur demande","Diamniadio, Sénégal",""
"1765227744-2","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-boerboel-4607340","Chien Boerboel","275 000 CFA","Diamniadio, Sénégal",""
"1765227747-3","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4609624","Chien Berger Allemand","Prix sur demande","Dakar, Sénégal",""
"1765227749-4","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/bichon-4611544","Bichon","150 000 CFA","Mariste, Dakar, Sénégal",""
"1765227751-5","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4618143","Chiot Malinois","300 000 CFA","Dakar, Sénégal",""
"1765227754-6","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-berger-femelle-adulte-4630010","Chien Berger Femelle adulte","500 000 CFA","Dakar, Sénégal",""
"1765227756-7","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/caniche-4634226","Caniche","200 000 CFA","Dakar, Sénégal",""
"1765227758-8","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-4636694","Chiot Berger Allemand mâle","180 000 CFA","Dakar, Sénégal",""
"1765227761-9","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiots-golden-retriever-4652247","Chiots Golden Retriever","650 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1765227763-10","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4653887","Chiot Berger Allemand","Prix sur demande","Pikine, Sénégal",""
"1765227766-11","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4657472","Chien Berger allemand","175 000 CFA","Dakar, Sénégal",""
"1765227768-12","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4659440","Chiot Berger Allemand","160 000 CFA","Dakar, Sénégal",""
"1765227770-13","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4660990","Chiot Berger Allemand","250 000 CFA","Dakar, Sénégal",""
"1765227773-14","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-4664447","Chiot Boerbull","Prix sur demande","Dakar, Sénégal",""
"1765227775-15","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-4664453","Chiot Boerbull","Prix sur demande","Dakar, Sénégal",""
"1765227777-16","http://sn.coinafrique.com/categorie/chiens?page=3","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4667946","Chiot Malinois","250 000 CFA","Rufisque, Sénégal",""
